variable,dataType,description,detail,allowedSuffix,measureUnit,allowedValues,valueInfo,provenance,expectedFileExt
id,id,"Participant ID (file: ""{filename}""; variable: ""{variable name}"")","The participant ID is specific to this study, and is auto-assigned by REDCap.",NA,Integer,{list allowed values separated by commas},One ID per participant (eligible and ineligible),automatic,
consent,consent,Participant consent status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""consent_complete"" or ""consentes_complete"" == ""2""(indicating participant consented), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor,
[one row for each psychopy task],psychopy,{task name} task status,"When data is transferred from raw to checked, value of 1 is assigned if ""{task name}"" file exists, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor,"{list expected file extensions separated by commas; list allowed file extensions separated by ""|""}"
[if audio/audacity data collected:] {task}_audio/audacity,audio/audacity,{Audio/Audacity} data status,"When hallMonitor is run, value of 1 is assigned if data already exists in checked, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor,"{list expected file extensions separated by commas; list allowed file extensions separated by ""|""}"
[if video/zoom data collected:] {task}_video/zoom,video/zoom,{Video/Zoom} data status,"When hallMonitor is run, value of 1 is assigned if data already exists in checked, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor,"{list expected file extensions separated by commas; list allowed file extensions separated by ""|""}"
[if EEG data collected:] {task}_eeg,eeg,{Brain Vision/EGI} EEG data status,"When data is transferred from raw to checked, value of 1 is assigned if data exists, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor,"{list expected file extensions separated by commas; list allowed file extensions separated by ""|""}"
[if EEG digi data collected:] {task}_digi,digi,Digi data status,"When hallMonitor is run, value of 1 is assigned if data already exists in checked, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor,"{list expected file extensions separated by commas; list allowed file extensions separated by ""|""}"
[one row for each REDCap questionnaire task],redcap_data,{questionnaire name} questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor,
[one row for each score output for each REDCap questionnaire task],redcap_scrd,{questionnaire name} {score name} status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,
[one row for each custom variable from preprocessing scripts],custom,{description of variable} status,"When data is preprocessed, {description of how values are assigned in the script}",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-{script name},
